school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,17,U,GT3,A,4,1,at_home,teacher,other,other,3,3,1,yes,yes,yes,yes,no,no,no,yes,5,1,2,1,1,3,27,17,16,13
MS,F,21,R,GT3,T,3,0,at_home,at_home,home,father,4,4,0,no,no,yes,no,yes,yes,no,no,3,1,4,5,5,1,10,1,0,0
MS,M,16,U,LE3,A,1,0,other,services,other,other,2,1,3,no,yes,no,no,no,yes,yes,no,5,4,2,3,5,1,6,17,14,16
MS,M,15,U,GT3,T,0,3,other,other,home,mother,1,3,3,yes,no,no,yes,no,no,no,no,4,4,3,2,2,5,16,4,3,2
GP,F,15,U,LE3,T,0,3,other,health,other,other,2,1,1,yes,no,no,no,no,yes,yes,no,5,5,5,2,3,1,24,5,5,2
MS,F,17,U,GT3,T,2,3,other,at_home,home,mother,3,4,1,yes,yes,no,no,yes,no,yes,yes,5,5,4,5,4,4,25,12,15,12
MS,M,20,U,LE3,A,2,3,teacher,at_home,home,mother,2,3,4,no,no,no,no,yes,yes,no,yes,2,1,4,2,5,1,26,10,8,10
GP,M,20,U,LE3,A,0,1,other,health,home,other,3,4,3,no,yes,no,yes,yes,yes,no,yes,3,4,2,1,4,4,27,16,19,18
MS,F,15,R,GT3,A,4,4,at_home,health,home,father,4,1,0,no,yes,no,no,no,yes,no,no,5,3,2,5,1,4,14,10,13,10
MS,M,18,R,GT3,A,1,3,services,health,reputation,father,4,4,3,yes,yes,yes,no,no,no,yes,yes,1,3,4,1,1,2,13,4,5,2
MS,M,21,R,LE3,T,0,1,at_home,services,reputation,other,4,4,0,yes,no,no,yes,yes,no,yes,no,2,3,2,3,2,5,13,3,6,5
GP,F,22,U,GT3,A,2,2,other,other,other,father,2,3,2,yes,yes,yes,no,no,no,no,no,1,2,1,3,3,2,1,18,20,20
MS,M,22,R,GT3,A,0,2,health,other,home,father,1,2,0,no,no,no,no,yes,yes,yes,no,3,3,2,2,1,1,5,15,13,10
GP,F,17,U,LE3,A,1,3,services,teacher,home,other,2,4,3,yes,no,no,no,yes,no,no,no,2,1,1,5,5,3,26,2,0,3
MS,F,21,U,GT3,A,0,1,at_home,health,other,other,1,3,1,no,no,no,yes,yes,yes,yes,no,4,4,4,1,2,5,8,8,6,4
MS,F,18,U,LE3,A,4,0,teacher,health,reputation,father,4,3,1,yes,yes,yes,yes,no,no,no,yes,5,5,3,5,2,4,4,7,7,10
GP,F,18,R,LE3,T,3,2,other,health,other,father,2,4,0,yes,no,no,yes,yes,no,yes,no,4,1,1,5,2,3,9,4,4,1
MS,M,15,U,GT3,T,0,1,other,teacher,home,other,2,4,0,yes,yes,no,no,yes,no,yes,yes,2,4,3,1,1,3,3,1,0,0
GP,F,22,R,GT3,A,2,1,teacher,teacher,reputation,mother,3,4,2,no,yes,yes,no,no,no,no,yes,4,5,3,4,4,4,14,5,8,5
MS,F,15,U,GT3,A,0,2,health,services,home,father,3,4,3,no,yes,no,no,yes,yes,yes,yes,5,2,1,3,2,2,28,0,2,4
MS,F,21,R,LE3,A,4,3,health,at_home,other,father,3,2,2,no,yes,yes,yes,no,no,no,yes,5,2,5,3,4,2,30,13,16,15
GP,M,15,U,GT3,T,4,3,at_home,other,course,mother,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,2,1,1,5,5,15,2,0,3
MS,M,21,U,LE3,A,1,2,health,at_home,reputation,mother,1,3,0,yes,yes,no,yes,yes,no,yes,yes,4,1,5,1,1,4,2,16,19,17
MS,F,16,R,GT3,A,0,4,teacher,health,other,other,1,3,1,yes,no,no,yes,yes,yes,yes,yes,2,5,1,2,2,1,21,17,20,18
GP,M,18,R,GT3,T,3,2,services,teacher,other,mother,1,2,2,no,no,no,no,no,yes,yes,no,2,2,2,2,1,5,25,20,20,20
GP,F,15,R,LE3,A,3,3,other,teacher,other,mother,4,3,1,no,no,yes,yes,no,yes,yes,yes,1,4,1,2,1,2,4,18,17,19
MS,F,21,R,LE3,T,3,3,health,teacher,other,mother,2,3,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,3,1,5,4,27,9,9,6
MS,M,22,R,GT3,T,2,4,services,other,reputation,mother,1,1,1,no,yes,no,no,no,no,yes,yes,4,1,2,1,2,5,9,7,7,9
MS,F,22,U,GT3,A,0,3,services,services,reputation,other,1,1,3,no,no,no,yes,no,yes,no,no,2,1,4,4,1,4,10,5,3,4
MS,F,15,U,LE3,A,3,0,other,services,course,other,2,2,2,no,yes,no,no,no,no,yes,no,2,3,2,3,2,3,2,15,16,13
GP,M,18,U,GT3,A,1,2,services,services,home,mother,4,4,0,no,yes,yes,yes,yes,yes,no,no,2,1,5,5,4,1,8,5,4,1
GP,M,22,U,LE3,T,1,2,health,teacher,home,mother,3,4,4,yes,yes,yes,no,no,no,yes,yes,4,1,3,3,2,2,14,5,6,5
GP,F,18,U,LE3,T,3,0,health,health,course,other,1,3,4,yes,yes,no,no,yes,yes,no,yes,4,1,2,5,1,3,20,2,1,0
MS,F,21,R,LE3,A,0,3,at_home,services,home,other,2,3,4,no,yes,no,yes,no,yes,yes,no,4,5,3,5,2,3,25,17,16,17
MS,F,17,R,LE3,T,0,0,services,services,reputation,other,3,3,1,yes,no,yes,no,no,no,no,yes,4,5,3,3,2,4,24,8,7,9
MS,M,16,R,LE3,T,3,4,teacher,other,other,father,1,3,0,yes,no,no,yes,yes,yes,yes,no,2,4,1,2,2,4,10,0,0,0
GP,M,18,R,GT3,T,3,1,other,teacher,home,other,3,3,3,no,yes,yes,no,no,yes,no,no,4,3,2,2,5,3,18,9,9,11
GP,M,17,R,GT3,T,2,0,teacher,health,reputation,mother,3,2,3,no,no,no,no,yes,no,no,no,3,2,3,2,4,4,4,16,13,13
MS,F,17,R,GT3,A,4,3,health,health,reputation,other,3,2,2,no,no,no,yes,yes,yes,yes,yes,4,3,1,2,4,5,11,10,10,12
GP,F,20,U,LE3,A,3,0,services,teacher,other,mother,4,4,3,no,yes,no,yes,no,no,yes,yes,2,1,3,3,5,1,22,10,10,7
GP,M,19,R,GT3,T,0,3,teacher,health,reputation,other,2,4,2,no,no,yes,no,no,yes,yes,yes,2,2,2,2,2,5,7,7,9,10
GP,M,21,R,GT3,T,3,2,at_home,services,reputation,other,3,1,1,yes,yes,yes,no,yes,no,yes,yes,4,3,4,5,4,4,22,9,11,11
MS,M,21,R,LE3,A,2,2,services,at_home,course,father,1,2,0,yes,yes,yes,no,no,no,no,yes,3,5,1,2,3,1,29,10,8,8
MS,M,21,U,GT3,A,4,2,services,teacher,reputation,other,1,1,2,yes,yes,no,yes,no,yes,no,yes,5,1,4,3,1,5,24,12,14,13
GP,M,18,U,GT3,T,0,2,services,at_home,home,other,1,4,2,yes,yes,yes,no,yes,yes,no,yes,4,1,4,4,2,4,9,2,5,4
MS,M,20,U,GT3,A,3,1,teacher,other,reputation,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,2,2,4,2,2,1,10,12,11,13
GP,F,18,R,LE3,T,4,1,health,other,other,other,3,2,0,no,yes,no,yes,no,no,yes,no,1,2,2,2,4,4,14,12,14,16
MS,M,18,U,GT3,A,3,3,health,health,course,mother,3,1,2,no,no,yes,yes,yes,yes,no,no,1,2,4,2,1,5,0,11,12,10
GP,F,19,R,GT3,A,3,2,health,teacher,reputation,mother,2,3,3,yes,no,no,yes,yes,no,no,no,2,1,5,1,4,4,22,9,6,7
GP,M,22,U,GT3,A,3,3,at_home,teacher,other,father,3,4,1,no,yes,yes,yes,no,yes,no,no,1,4,4,2,1,3,18,0,0,2
MS,F,16,R,GT3,T,4,1,health,other,home,other,3,1,1,yes,yes,no,yes,yes,no,yes,yes,2,5,1,2,4,5,6,16,19,18
MS,M,22,U,LE3,T,4,1,at_home,at_home,course,other,3,4,1,yes,no,yes,yes,no,yes,yes,yes,1,1,2,3,2,1,17,0,0,0
GP,M,22,U,LE3,A,3,4,health,services,course,father,3,1,0,yes,no,no,no,yes,yes,no,yes,5,5,4,4,5,2,19,2,2,3
GP,F,20,U,GT3,A,3,1,other,services,home,other,3,2,1,yes,no,yes,yes,yes,yes,no,no,3,5,4,4,2,5,5,0,3,6
MS,M,17,R,GT3,A,4,1,services,other,other,father,1,3,3,no,yes,no,yes,yes,yes,no,no,4,1,4,4,1,3,19,2,0,2
GP,M,18,R,LE3,A,3,1,other,teacher,reputation,father,4,3,3,no,yes,no,yes,yes,no,no,no,1,5,2,4,3,1,16,6,9,8
GP,F,19,R,LE3,T,1,2,other,health,home,father,4,1,0,no,yes,no,yes,yes,no,yes,no,1,5,3,4,1,5,27,16,13,16
GP,F,19,R,LE3,T,3,3,health,health,home,other,2,3,3,no,no,no,no,yes,no,no,yes,2,1,1,1,4,1,20,8,9,10
MS,M,19,R,LE3,T,3,4,at_home,health,reputation,father,2,4,4,yes,no,yes,yes,yes,no,yes,no,1,1,1,3,5,4,13,18,17,18
GP,F,17,R,GT3,T,3,3,health,at_home,home,mother,2,1,3,no,yes,yes,yes,yes,yes,no,no,3,2,4,1,5,1,29,10,13,16
GP,F,22,R,LE3,A,4,3,at_home,health,other,father,2,4,0,yes,yes,no,yes,yes,yes,yes,no,5,4,4,2,5,3,29,5,5,3
MS,F,21,R,LE3,A,1,1,other,services,home,other,2,1,0,yes,yes,yes,no,yes,no,yes,yes,4,4,4,5,2,2,25,4,2,4
MS,F,19,U,GT3,T,3,2,services,teacher,course,father,4,1,3,no,no,yes,yes,no,no,yes,yes,2,1,1,3,5,1,25,20,20,18
MS,M,20,R,LE3,T,3,4,other,health,reputation,mother,1,3,3,yes,no,no,yes,yes,no,no,yes,3,5,4,4,3,3,27,1,1,1
MS,F,15,U,GT3,T,1,4,services,health,reputation,mother,1,4,4,yes,no,yes,yes,yes,yes,no,yes,3,5,5,1,1,1,29,10,8,10
GP,F,15,U,LE3,T,0,1,teacher,at_home,course,father,4,1,2,no,yes,no,no,no,no,yes,yes,1,4,2,3,3,4,25,19,19,19
MS,M,17,U,GT3,T,0,1,at_home,teacher,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,3,5,4,3,4,27,3,2,1
MS,M,17,R,LE3,A,1,0,at_home,at_home,other,father,1,3,3,yes,yes,yes,no,yes,yes,no,yes,5,3,2,3,1,2,12,13,15,13
GP,F,15,R,LE3,A,2,3,other,at_home,home,other,1,3,3,no,no,yes,no,yes,no,yes,no,5,1,5,4,5,5,24,14,13,15
MS,M,22,R,GT3,A,3,2,at_home,health,reputation,mother,1,2,0,no,yes,yes,no,yes,no,no,yes,3,4,5,5,3,3,3,13,14,13
GP,M,17,R,GT3,A,0,0,at_home,health,home,mother,4,3,2,yes,no,yes,yes,yes,yes,no,yes,2,3,4,2,2,5,12,15,13,13
GP,M,18,U,LE3,A,3,2,other,other,home,mother,1,3,2,yes,yes,no,no,no,yes,no,no,2,1,3,5,1,1,20,8,9,7
GP,M,17,U,GT3,T,3,0,other,at_home,home,father,4,2,0,no,yes,yes,yes,yes,yes,yes,no,1,4,3,3,4,3,14,3,1,1
MS,F,18,R,GT3,T,2,1,teacher,health,reputation,father,3,2,4,no,no,no,no,yes,yes,no,yes,5,1,5,2,3,1,1,6,8,6
GP,M,17,R,GT3,T,0,4,at_home,health,reputation,father,2,4,1,yes,no,no,yes,yes,no,yes,yes,5,4,3,3,4,3,11,14,15,16
GP,F,16,R,LE3,A,0,4,at_home,other,other,father,2,1,4,no,no,no,no,no,no,yes,yes,2,5,1,3,3,5,30,9,7,10
MS,M,18,R,LE3,A,2,4,other,teacher,course,mother,1,2,4,no,yes,yes,no,yes,yes,yes,yes,2,2,5,4,2,3,10,5,2,5
MS,M,16,R,GT3,T,4,0,health,teacher,home,other,2,4,0,yes,no,yes,no,no,no,yes,yes,4,3,2,5,2,2,5,6,6,5
GP,M,18,R,LE3,T,3,0,teacher,at_home,reputation,mother,4,3,4,yes,no,no,no,no,yes,no,yes,2,3,1,3,1,2,17,20,17,14
GP,M,20,R,LE3,A,1,3,health,teacher,reputation,mother,4,4,0,no,yes,yes,yes,yes,no,no,no,5,4,2,2,1,2,21,16,18,19
MS,F,19,U,LE3,T,2,1,services,services,reputation,father,2,4,2,no,no,yes,no,yes,no,no,no,1,4,3,5,4,3,16,0,0,2
GP,F,17,U,GT3,T,2,0,health,other,reputation,other,1,3,0,no,no,yes,no,no,yes,yes,yes,2,5,5,1,5,4,10,3,0,0
MS,M,18,U,GT3,T,1,4,teacher,services,reputation,mother,3,3,4,no,yes,no,yes,no,no,yes,yes,4,4,1,1,1,4,5,20,20,20
GP,F,21,R,GT3,T,2,4,other,teacher,reputation,father,1,2,3,no,yes,yes,yes,no,yes,no,no,1,1,1,4,1,5,16,11,10,8
MS,M,17,U,GT3,T,1,2,health,teacher,other,other,1,1,3,no,no,yes,yes,no,no,no,no,4,2,1,2,1,5,29,17,14,11
GP,F,18,R,GT3,T,1,3,other,other,home,other,3,3,0,yes,yes,yes,no,yes,no,no,yes,5,3,5,5,1,4,27,18,16,14
MS,M,18,U,LE3,A,4,2,other,health,home,mother,3,4,4,yes,yes,no,no,no,yes,yes,no,4,1,5,2,4,4,18,4,5,3
GP,M,18,U,LE3,T,0,3,at_home,teacher,other,father,4,3,3,no,no,no,yes,no,no,no,no,3,3,1,1,2,3,5,5,8,8
MS,M,15,R,LE3,T,2,0,teacher,at_home,other,father,4,2,3,no,no,yes,yes,no,yes,no,yes,4,2,5,1,5,3,20,8,9,10
MS,F,22,R,GT3,A,2,3,at_home,at_home,home,father,3,1,3,yes,no,yes,yes,no,no,yes,yes,3,1,2,5,5,3,12,14,17,18
MS,F,18,U,LE3,T,4,2,at_home,health,reputation,mother,2,4,3,no,no,yes,yes,no,yes,yes,no,1,1,5,3,2,2,4,2,0,0
MS,F,19,U,LE3,T,3,0,other,teacher,reputation,father,3,2,0,no,yes,no,yes,no,no,yes,yes,3,5,5,2,2,4,3,14,14,11
MS,F,15,U,GT3,T,2,2,services,teacher,course,father,3,3,0,no,no,no,yes,no,yes,yes,yes,2,3,3,2,4,2,29,13,10,13
GP,M,17,U,GT3,A,2,2,health,other,home,father,2,4,3,yes,yes,yes,no,no,no,no,yes,3,2,5,2,1,4,0,12,12,9
MS,F,15,R,LE3,A,4,2,at_home,other,reputation,father,2,2,4,no,yes,yes,yes,no,no,yes,yes,3,5,3,1,3,1,8,15,18,16
GP,F,15,U,GT3,A,3,4,other,teacher,reputation,father,3,2,1,no,yes,yes,no,yes,no,yes,yes,4,4,1,1,4,4,23,11,12,14
GP,M,15,U,GT3,T,1,2,teacher,at_home,home,other,1,2,0,yes,no,no,no,no,no,no,no,5,1,4,1,1,5,8,6,3,4
GP,M,19,R,GT3,A,0,0,services,teacher,reputation,father,3,4,1,no,no,no,yes,yes,yes,yes,yes,4,3,4,3,4,1,18,18,19,16
GP,M,21,R,LE3,T,2,1,at_home,teacher,other,father,4,1,3,no,no,yes,no,no,yes,no,no,3,5,2,2,4,1,5,3,5,7
MS,M,17,R,GT3,T,0,4,other,other,home,mother,2,2,2,yes,no,yes,yes,no,yes,yes,no,5,5,1,4,2,5,23,3,0,0
GP,F,15,U,LE3,A,1,2,services,other,course,father,3,1,4,no,yes,yes,no,yes,no,yes,yes,3,5,2,5,2,3,11,4,7,5
MS,F,21,U,GT3,A,4,0,other,services,reputation,mother,4,3,3,yes,no,yes,yes,no,no,yes,yes,4,5,1,2,4,3,0,6,6,7
GP,F,15,U,LE3,T,2,1,at_home,teacher,home,other,1,1,4,yes,yes,yes,no,no,yes,yes,yes,1,2,3,4,1,4,21,1,1,0
MS,M,17,R,GT3,T,3,3,other,other,reputation,mother,1,1,4,yes,yes,yes,no,no,yes,yes,no,5,2,4,3,1,5,12,4,1,0
GP,F,21,U,LE3,A,3,4,services,teacher,home,other,2,4,4,no,yes,yes,no,no,yes,no,yes,1,1,4,1,5,1,15,0,0,0
MS,M,18,R,GT3,A,0,1,at_home,services,reputation,mother,3,2,0,yes,no,yes,yes,no,yes,no,no,3,3,1,1,3,3,8,18,20,20
MS,M,15,R,LE3,A,3,0,services,health,course,other,3,4,3,yes,yes,no,no,no,yes,no,no,5,5,2,2,4,1,23,15,12,13
MS,F,20,U,GT3,A,3,1,health,other,home,other,4,4,2,no,yes,no,yes,yes,no,yes,yes,4,3,4,3,5,4,6,4,3,4
GP,M,19,R,GT3,T,4,3,health,health,reputation,father,1,3,1,yes,no,yes,no,no,yes,yes,yes,3,2,2,5,2,3,13,3,3,5
GP,M,19,U,LE3,T,1,3,other,health,other,father,2,2,0,yes,yes,no,no,no,no,no,no,2,3,4,5,5,2,25,0,3,4
MS,M,20,R,LE3,A,2,2,services,teacher,reputation,father,1,1,3,no,yes,no,yes,no,yes,yes,yes,4,1,5,1,4,4,11,0,1,0
GP,M,16,R,GT3,A,2,4,other,at_home,reputation,mother,3,1,4,no,no,no,yes,no,no,no,no,2,1,2,1,4,1,23,13,12,14
MS,M,16,U,LE3,A,1,4,other,services,course,mother,1,1,0,no,no,yes,no,yes,yes,yes,yes,1,3,4,4,1,2,17,14,12,11
GP,M,18,R,LE3,T,3,3,other,at_home,course,mother,3,3,3,no,no,no,no,yes,no,no,no,1,4,2,2,1,3,13,7,5,6
GP,F,17,U,GT3,A,1,4,services,at_home,other,mother,1,3,4,no,yes,yes,no,no,no,no,yes,5,2,3,3,4,2,13,16,17,19
GP,F,15,R,GT3,A,3,1,teacher,teacher,reputation,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,2,3,5,1,4,4,4,7,4,5
GP,F,18,R,LE3,A,2,4,other,health,reputation,mother,2,3,1,no,no,yes,no,no,no,yes,no,3,5,2,3,3,5,18,6,3,3
MS,F,21,U,LE3,A,1,4,other,at_home,other,mother,3,1,0,yes,no,yes,no,no,yes,yes,no,4,5,3,3,3,2,7,8,6,9
MS,M,22,U,GT3,T,3,3,other,teacher,course,mother,3,4,2,no,yes,yes,no,yes,yes,yes,yes,5,1,1,1,2,3,6,3,3,2
GP,F,20,U,LE3,A,4,4,other,at_home,other,other,2,2,3,no,no,yes,yes,yes,no,yes,no,4,5,4,5,2,5,1,1,1,1
GP,F,16,U,GT3,T,4,0,services,teacher,reputation,father,4,1,0,yes,yes,yes,yes,yes,yes,no,yes,5,3,3,2,3,1,13,16,14,14
GP,F,22,R,GT3,T,4,0,services,services,course,father,1,3,1,no,no,yes,no,no,yes,yes,yes,2,4,5,3,4,5,12,0,0,2
MS,M,20,U,GT3,T,4,3,services,health,course,mother,1,3,3,no,yes,no,yes,yes,yes,no,yes,5,1,3,2,1,3,29,17,16,13
MS,F,22,R,GT3,T,1,2,at_home,at_home,home,father,3,2,3,yes,no,no,no,no,yes,yes,no,1,2,5,5,5,3,28,8,5,5
GP,M,18,U,LE3,A,4,3,health,teacher,course,father,2,2,3,no,no,no,yes,no,no,yes,no,2,5,3,3,1,2,27,5,4,6
GP,M,21,U,GT3,T,3,2,health,other,course,other,2,1,4,yes,no,yes,no,no,yes,no,yes,3,3,4,2,2,5,9,17,17,15
GP,M,19,U,GT3,A,1,4,health,teacher,other,other,2,4,0,yes,no,yes,no,yes,no,yes,yes,5,4,5,5,5,2,2,8,9,8
GP,F,21,U,LE3,T,2,1,other,teacher,home,other,4,3,4,yes,no,no,no,no,no,yes,no,4,2,3,3,5,3,8,0,3,4
GP,F,20,R,GT3,T,1,0,services,at_home,course,other,2,2,3,yes,yes,no,yes,yes,yes,no,no,3,1,5,1,5,1,13,17,19,18
GP,F,21,R,LE3,A,4,4,at_home,teacher,course,father,3,3,1,yes,no,yes,yes,yes,no,no,no,4,3,4,2,5,1,2,1,4,5
GP,M,16,U,LE3,T,4,1,other,services,reputation,other,3,2,3,yes,no,yes,yes,no,yes,yes,no,5,4,1,5,1,2,10,14,13,13
MS,M,17,U,LE3,A,3,1,teacher,at_home,reputation,other,3,4,0,yes,no,no,no,yes,no,yes,no,3,3,3,1,4,2,6,0,3,3
MS,M,16,U,LE3,T,4,4,services,services,reputation,mother,2,1,1,yes,no,no,yes,yes,no,no,yes,5,4,1,5,4,2,28,0,0,0
GP,F,22,U,LE3,T,1,2,health,services,other,father,3,4,3,yes,yes,yes,no,no,no,yes,no,1,1,3,1,5,1,22,0,0,2
MS,M,16,U,LE3,T,0,0,services,teacher,home,other,3,2,2,no,yes,no,yes,yes,no,yes,no,5,4,2,3,2,3,9,15,12,12
GP,F,15,R,GT3,A,4,0,at_home,teacher,other,father,1,3,2,no,yes,yes,yes,no,yes,no,no,5,3,1,2,1,2,29,17,17,20
GP,F,17,U,GT3,A,4,0,services,services,home,mother,2,2,1,no,no,yes,yes,no,yes,yes,no,4,2,4,1,5,4,19,8,8,8
GP,F,19,U,GT3,A,1,3,other,at_home,reputation,mother,4,4,1,yes,yes,yes,yes,no,no,yes,no,4,5,2,4,3,1,9,7,5,2
MS,F,21,U,LE3,T,3,4,services,services,other,father,2,4,3,no,no,no,yes,no,yes,yes,yes,5,5,4,4,1,3,21,7,4,1
MS,F,16,R,GT3,T,1,4,health,at_home,reputation,mother,2,2,4,no,yes,yes,yes,yes,yes,no,no,3,3,1,2,2,4,13,13,14,16
GP,F,18,U,LE3,T,0,1,at_home,at_home,other,father,1,2,4,yes,yes,no,no,yes,no,no,no,1,1,4,3,1,5,15,1,1,2
MS,M,20,R,GT3,T,1,1,services,health,course,mother,2,1,2,no,no,no,yes,yes,yes,yes,yes,2,5,1,2,1,3,23,0,1,0
MS,F,21,R,LE3,T,1,3,services,services,course,other,4,4,2,yes,no,yes,no,yes,no,yes,yes,1,4,3,2,1,3,21,20,18,20
MS,M,15,U,LE3,A,0,1,at_home,services,course,other,1,3,0,yes,yes,no,yes,no,no,no,no,3,3,1,5,2,3,4,6,9,12
MS,F,18,R,LE3,A,2,2,other,other,home,mother,3,3,3,yes,yes,no,no,no,yes,yes,yes,2,4,4,3,2,5,10,20,20,20
GP,M,22,U,GT3,A,2,3,teacher,health,other,other,2,2,3,yes,yes,yes,no,no,yes,no,yes,1,4,5,4,1,4,15,3,2,0
MS,F,21,R,LE3,T,4,3,teacher,at_home,other,other,4,2,3,no,yes,no,yes,no,no,yes,yes,1,4,1,5,1,4,23,6,6,4
MS,F,22,R,GT3,A,1,4,other,other,home,other,2,1,4,no,no,yes,no,no,yes,no,no,2,5,4,1,5,4,24,6,4,6
MS,F,17,R,LE3,A,0,2,health,services,home,father,2,1,1,no,no,no,no,yes,yes,no,no,2,3,5,1,1,3,23,10,8,9
MS,M,22,U,LE3,A,3,0,services,at_home,course,mother,3,1,1,no,yes,yes,no,yes,no,no,yes,2,3,5,4,3,5,25,1,0,0
MS,F,21,U,GT3,A,0,3,teacher,teacher,other,mother,1,2,2,no,yes,yes,yes,yes,no,no,yes,2,1,3,2,2,1,10,6,4,2
MS,M,16,R,LE3,A,3,3,health,at_home,course,mother,1,4,4,yes,yes,no,no,yes,no,no,no,2,5,3,1,5,4,14,12,11,9
MS,F,15,R,LE3,T,3,4,health,other,reputation,other,4,4,3,yes,yes,yes,no,no,yes,yes,yes,3,4,2,1,4,5,10,10,9,9
MS,M,17,U,LE3,T,3,4,at_home,teacher,course,father,1,3,3,no,yes,no,no,no,no,no,no,5,2,4,2,5,1,24,4,7,4
MS,F,16,U,GT3,T,4,3,at_home,services,course,father,1,2,4,no,yes,yes,no,yes,no,yes,yes,4,5,1,1,2,1,8,10,7,10
MS,M,16,R,LE3,T,0,1,other,other,home,father,1,4,1,no,yes,yes,yes,yes,yes,yes,yes,3,1,4,1,4,1,24,4,2,0
GP,M,21,U,GT3,A,0,3,health,health,reputation,father,3,1,1,yes,yes,no,no,no,no,no,yes,4,2,2,3,4,3,23,10,12,11
GP,M,18,R,LE3,A,1,4,other,other,course,other,3,1,1,no,yes,no,no,no,no,yes,yes,2,3,3,1,3,2,11,18,20,20
GP,F,22,U,GT3,T,1,3,teacher,other,reputation,father,1,2,3,no,yes,no,no,yes,yes,yes,no,2,1,4,5,4,2,8,20,18,16
MS,M,16,R,GT3,T,1,4,services,other,home,father,4,2,4,yes,yes,no,yes,yes,yes,yes,no,2,4,5,2,3,1,20,3,3,2
MS,F,18,U,GT3,A,0,2,other,teacher,other,father,4,3,1,yes,no,no,yes,no,yes,no,yes,5,5,1,1,1,3,16,8,6,9
GP,F,17,R,LE3,T,2,1,other,at_home,course,other,3,4,2,no,no,yes,no,no,no,no,no,1,1,1,2,4,1,25,12,12,13
GP,M,19,U,GT3,A,3,1,health,services,home,father,3,1,3,no,yes,yes,yes,no,yes,no,yes,2,2,5,2,1,5,2,7,8,7
GP,M,16,U,LE3,A,0,0,other,at_home,home,father,1,1,1,no,no,yes,no,yes,no,yes,no,3,4,4,4,3,5,4,6,3,2
GP,M,17,R,GT3,A,3,4,at_home,services,home,mother,2,1,4,yes,yes,no,yes,no,no,yes,no,2,1,1,4,1,5,3,13,16,17
MS,F,19,R,GT3,A,3,4,health,other,course,other,3,3,3,yes,yes,yes,no,yes,yes,no,no,5,1,5,5,4,3,21,2,4,2
MS,M,20,R,LE3,T,4,4,teacher,teacher,reputation,mother,3,4,3,yes,yes,no,no,yes,yes,no,yes,5,2,5,4,4,5,21,3,1,0
GP,F,19,U,LE3,A,1,2,teacher,services,course,mother,4,2,1,no,no,no,yes,no,yes,no,no,1,3,1,2,2,2,18,9,6,6
GP,F,18,U,LE3,A,3,3,health,other,course,mother,1,1,2,yes,yes,no,yes,no,yes,yes,yes,3,2,5,3,1,1,7,9,6,4
MS,F,21,U,LE3,T,0,0,health,health,home,father,2,1,3,yes,yes,yes,yes,no,yes,yes,yes,1,5,1,1,1,1,26,0,3,2
GP,F,20,R,LE3,A,3,2,teacher,services,course,mother,4,1,3,no,no,yes,no,no,yes,yes,yes,1,1,2,4,3,5,23,0,0,0
MS,M,18,U,LE3,T,4,4,other,teacher,course,mother,4,4,2,yes,no,no,yes,no,no,no,no,2,5,2,1,1,4,0,12,15,16
GP,M,19,U,GT3,T,3,2,services,services,other,father,2,1,4,no,no,yes,yes,no,no,yes,no,1,4,2,1,4,5,1,0,0,1
GP,F,15,U,LE3,A,3,3,at_home,at_home,home,father,4,2,4,no,no,no,no,yes,yes,yes,yes,3,3,5,4,2,5,24,3,6,5
GP,M,21,R,GT3,T,2,3,other,health,course,father,1,1,0,no,no,no,yes,yes,no,no,yes,5,1,2,5,4,4,9,5,2,0
MS,F,21,R,GT3,T,3,3,at_home,teacher,reputation,other,4,1,0,no,yes,yes,no,no,yes,no,no,4,3,4,3,4,5,19,0,3,6
MS,M,20,U,GT3,T,0,1,teacher,health,course,mother,2,1,2,yes,yes,no,yes,yes,no,yes,no,3,5,5,3,2,4,5,15,13,14
GP,M,20,U,LE3,A,4,4,health,at_home,course,other,3,2,2,yes,yes,yes,no,no,yes,no,yes,3,5,3,4,2,3,23,14,12,10
GP,M,16,U,GT3,A,2,4,other,services,course,mother,1,4,0,yes,no,no,yes,yes,yes,yes,yes,2,3,5,2,4,3,8,12,11,11
MS,M,15,U,LE3,T,0,2,teacher,teacher,other,father,1,4,0,yes,no,no,no,no,yes,no,no,4,1,2,5,2,2,26,7,5,2
GP,F,18,U,GT3,T,2,1,other,at_home,reputation,mother,4,4,1,yes,yes,yes,no,no,no,no,no,2,3,2,3,3,3,14,6,6,6
MS,F,16,U,GT3,A,0,4,at_home,services,other,mother,1,2,3,yes,no,yes,no,no,yes,yes,yes,1,4,2,2,2,3,14,2,0,3
MS,M,16,R,LE3,A,3,2,teacher,services,reputation,father,4,1,2,no,no,yes,no,yes,no,yes,yes,5,2,5,2,1,3,9,20,20,17
